,event,particle,eta,phi,PT,jmass,ntrk,btag,hadem
38331,5217,jet,0.792,2.608,1129.23,69.0,25.0,0.0,0.18
38332,5217,jet,-1.615,-0.477,952.93,119.56,42.0,1.0,0.66
38333,5217,jet,0.103,1.945,778.03,42.86,25.0,0.0,0.92
38334,5217,jet,-0.593,-3.101,635.04,84.45,18.0,0.0,0.63
38335,5217,jet,-1.631,1.134,225.7,18.75,13.0,0.0,0.93
38336,5217,jet,0.51,-1.5,125.02,8.83,7.0,0.0,0.63
38337,5217,jet,-0.83,-0.45,100.32,15.08,16.0,0.0,0.27
38338,5217,jet,0.106,-2.743,46.34,10.55,8.0,0.0,999.9
38339,5217,jet,-0.87,-2.766,35.09,2.59,13.0,0.0,0.0
38340,5217,MET,0.0,-1.47,48.21,0.0,0.0,0.0,0.0
38341,5218,photon,1.107,-1.45,16.38,0.0,0.0,0.0,0.0
38342,5218,jet,-0.578,0.633,2197.86,84.91,21.0,0.0,1.08
38343,5218,jet,-0.147,3.083,1830.3,218.26,49.0,0.0,0.69
38344,5218,jet,0.805,0.107,1669.42,45.97,6.0,0.0,0.82
38345,5218,jet,0.107,-2.554,451.11,96.76,26.0,1.0,0.98
38346,5218,jet,0.59,-2.059,60.19,0.0,6.0,1.0,999.9
38347,5218,MET,0.0,-2.321,1756.65,0.0,0.0,0.0,0.0
38348,5219,photon,-1.166,-0.972,70.09,0.0,0.0,0.0,0.0
38349,5219,tau,-1.645,-0.62,153.43,20.46,1.0,0.0,0.17
38350,5219,jet,-0.599,1.778,2364.47,342.91,47.0,0.0,0.22
38351,5219,jet,1.586,-1.729,1759.73,122.71,33.0,0.0,0.3
38352,5219,jet,0.099,-1.109,309.68,24.69,16.0,0.0,0.25
38353,5219,jet,-0.244,0.091,164.39,17.03,9.0,0.0,0.18
38354,5219,jet,0.119,0.654,42.58,9.79,13.0,0.0,2.99
38355,5219,jet,0.309,2.068,23.04,5.95,10.0,0.0,0.8
38356,5219,MET,0.0,-0.663,357.32,0.0,0.0,0.0,0.0
38357,5220,electron,-0.128,1.523,145.34,0.0,1.0,0.0,0.0
38358,5220,jet,-0.808,-2.923,2037.01,72.08,14.0,0.0,36.64
38359,5220,jet,-0.86,-0.37,1299.16,157.41,49.0,0.0,0.45
38360,5220,jet,2.301,0.405,694.74,15.99,8.0,0.0,12.77
38361,5220,jet,-1.088,1.95,225.74,33.45,18.0,0.0,0.29
38362,5220,jet,-1.29,-0.668,156.58,17.65,31.0,0.0,3.11
38363,5220,jet,0.282,1.012,89.24,11.12,11.0,1.0,1.39
38364,5220,jet,2.9,1.09,22.23,2.96,0.0,0.0,999.9
38365,5220,MET,0.0,1.559,266.53,0.0,0.0,0.0,0.0
38366,5221,jet,-0.265,2.577,3546.13,431.35,49.0,0.0,1.19
38367,5221,jet,-0.359,-0.759,2545.02,168.11,30.0,0.0,0.12
38368,5221,jet,1.473,0.261,888.21,141.66,38.0,0.0,0.79
38369,5221,jet,-0.671,2.368,106.8,9.77,36.0,1.0,0.15
38370,5221,jet,1.928,-0.069,54.79,5.54,8.0,0.0,2.19
38371,5221,jet,-0.288,-1.192,40.44,5.57,30.0,0.0,0.33
38372,5221,jet,0.347,-0.635,38.73,7.05,5.0,0.0,3.46
38373,5221,MET,0.0,-0.963,480.63,0.0,0.0,0.0,0.0
